Artist,Track,msPlayed,Name
"Zaz","Déterre",30054,"Elena"
"Vance Joy","Mess Is Mine",223640,"Elena"
"Extremoduro","Si te vas...",2154,"Elena"
"Emergence Magazine Podcast","Reseeding the Food System – Rowen White",137952,"Elena"
"Hiroshi Yoshimura","Water Copy",40490,"Elena"
"Jóhann Jóhannsson","Flight From The City",391160,"Elena"
"Jóhann Jóhannsson","A Song For Europa",153573,"Elena"
"Jóhann Jóhannsson","The Drowned World",140893,"Elena"
"Jóhann Jóhannsson","A Deal With Chaos",125826,"Elena"
"Jóhann Jóhannsson","A Pile Of Dust",291106,"Elena"
"Jóhann Jóhannsson","A Sparrow Alighted Upon Our Shoulder",147093,"Elena"
"Jóhann Jóhannsson","Fragment I",84946,"Elena"
"Jóhann Jóhannsson","By The Roes, And By The Hinds Of The Field",158933,"Elena"
"Jóhann Jóhannsson","The Radiant City",211173,"Elena"
"Jóhann Jóhannsson","Fragment II",132186,"Elena"
"Jóhann Jóhannsson","The Burning Mountain",165853,"Elena"
"Jóhann Jóhannsson","De Luce Et Umbra",148600,"Elena"
"Jóhann Jóhannsson","Good Morning, Midnight",197546,"Elena"
"Jóhann Jóhannsson","Good Night, Day",238000,"Elena"
"Jóhann Jóhannsson","Orphic Hymn",207186,"Elena"
"The Japanese House","Something Has to Change",163242,"Elena"
"Cosmo","Sei la mia città",224360,"Elena"
"Radiohead","Everything In Its Right Place",155833,"Elena"
"David Bowie","Heroes - 2017 Remaster",371413,"Elena"
"Arctic Monkeys","Four Out Of Five",312346,"Elena"
"Jorge Drexler","Me haces bien",184546,"Elena"
"Future Islands","A Dream of You and Me",239306,"Elena"
"Gazzelle","Nero",197865,"Elena"
"Masego","Queen Tings",188053,"Elena"
"Bombay Bicycle Club","You Already Know",182336,"Elena"
"Ólafur Arnalds","0040 - Remastered 10th Anniversary Edition",242496,"Elena"
"Jóhann Jóhannsson","Manifest",371240,"Elena"
"Jóhann Jóhannsson","Danse",158149,"Elena"
"Jóhann Jóhannsson","Low",326983,"Elena"
"Jóhann Jóhannsson","Zurich",126225,"Elena"
"F.S. Blumm","Day One One",362487,"Elena"
"F.S. Blumm","Day Two Two",52714,"Elena"
"Gazzelle","Vita paranoia",194933,"Elena"
"Frank Sinatra","That's Life",30998,"Elena"
"The Beatles","Here, There And Everywhere - Remastered 2009",2496,"Elena"
"David Bowie","Heroes - 2017 Remaster",4949,"Elena"
"The Beatles","Here, There And Everywhere - Remastered 2009",144880,"Elena"
"David Bowie","Heroes - 2017 Remaster",371413,"Elena"
"Exile","Kiss You All Over",214400,"Elena"
"U2","Love Is Bigger Than Anything In Its Way",108705,"Elena"
"David Bowie","Heroes - 2017 Remaster",3242,"Elena"
"U2","Love Is Bigger Than Anything In Its Way",129371,"Elena"
"Future Islands","Time On Her Side",218506,"Elena"
"Tom Grennan","Found What I've Been Looking For",193680,"Elena"
"Jim Sturgess","All My Loving - From "Across The Universe" Soundtrack",151426,"Elena"
"The Lumineers","Nobody Knows",188573,"Elena"
"Rhye","Song For You",238666,"Elena"
"The Black Keys","Turn Blue",191186,"Elena"
"The Black Keys","Turn Blue",16533,"Elena"
"Belle & Sebastian","Nobody's Empire",310328,"Elena"
"Belle & Sebastian","The Party Line",971,"Elena"
"Belle & Sebastian","Allie",196475,"Elena"
"alt-J","3WW",300106,"Elena"
"alt-J","In Cold Blood",206853,"Elena"
"The Japanese House","Letter by the Water",3328,"Elena"
"The Japanese House","We Talk all the Time",3775,"Elena"
"The Japanese House","Somebody you found",2816,"Elena"
"alt-J","House of the Rising Sun",293104,"Elena"
"The Japanese House","Count to Nine",435008,"Elena"
"Nils Frahm","The Roughest Trade",220000,"Elena"
"Nils Frahm","Ringing",207000,"Elena"
"Nils Frahm","To Thomas",259000,"Elena"
"Nils Frahm","The Dane",123000,"Elena"
"Nils Frahm","Sweet Little Lie",6716,"Elena"
"Nils Frahm","Harmonium in the Well",694150,"Elena"
"Ela Minus","Ceremony",204576,"Elena"
"Ela Minus","A.R.P.",187729,"Elena"
"Populous","Azul Oro",155941,"Elena"
"Mitú","SALTA",170158,"Elena"
"Ela Minus","Ceremony",204576,"Elena"
"Mitú","NO TE VAYAS SIN DECIRME A DONDE",192652,"Elena"
"Ela Minus","Jamaica",193403,"Elena"
"Ela Minus","Juan Sant",155175,"Elena"
"Ela Minus","OK",260000,"Elena"
"Ela Minus","Kiddo",279458,"Elena"
"Ela Minus","A.R.P.",187729,"Elena"
"Ela Minus","Volcán",217339,"Elena"
"Ela Minus","So,",258000,"Elena"
"Ela Minus","Juan Sant (Nicola Cruz Remix)",248503,"Elena"
"Ela Minus","Juan Sant",155175,"Elena"
"Ela Minus","A.R.P.",187729,"Elena"
"Ela Minus","Ceremony",204576,"Elena"
"Ela Minus","I Wish I Had a Hat",173853,"Elena"
"Ela Minus","Ahead",235425,"Elena"
"Ela Minus","Volcán",217339,"Elena"
"Ela Minus","House on a Mountain",206748,"Elena"
"Ela Minus","Small Moves",260746,"Elena"
"Ela Minus","Jamaica",193403,"Elena"
"Populous","Azul Oro",206895,"Elena"
"Los Wálters","Desastre Comunal",184421,"Elena"
"CLUBZ","Épocas",221853,"Elena"
"Helado Negro","Imagining What to Do",202603,"Elena"
"Elsa y Elmar","Ojos Noche",51730,"Elena"
"Ela Minus","Juan Sant (Nicola Cruz Remix)",248503,"Elena"
"Ela Minus","I Wish I Had a Hat",173853,"Elena"
"Elsa y Elmar","Ojos Noche",205059,"Elena"
"Nicola Cruz","Voz de las Montañas - con Minük",76863,"Elena"
"BEA1991","I Am a Joker!",22271,"Elena"
"Ela Minus","OK",260000,"Elena"
"Ela Minus","So,",183541,"Elena"
"Ela Minus","Ceremony",204576,"Elena"
"Ela Minus","A.R.P.",187729,"Elena"
"Ela Minus","Juan Sant",155175,"Elena"
"Ela Minus","I Wish I Had a Hat",173853,"Elena"
"Ela Minus","Ahead",68281,"Elena"
"Crudo Means Raw","No Copio",205255,"Elena"
"Crudo Means Raw","María",62938,"Elena"
"The Lumineers","Flowers In Your Hair",110560,"Elena"
"The Vaccines","Your Love Is My Favourite Band",189533,"Elena"
"The Police","Next To You",11417,"Elena"
"Rod Stewart","Have I Told You Lately - 2008 Remaster",241506,"Elena"
"The Japanese House","somethingfartoogoodtofeel",265897,"Elena"
"Mumford & Sons","After The Storm",247880,"Elena"
"Khalid","Vertigo",48572,"Elena"
"U2","Vertigo",490,"Elena"
"U2","Miracle Drug",234013,"Elena"
"U2","City Of Blinding Lights",3050,"Elena"
"U2","Sometimes You Can't Make It On Your Own",305080,"Elena"
"U2","A Man And A Woman",2304,"Elena"
"U2","Love And Peace Or Else",20565,"Elena"
"U2","All Because Of You",2389,"Elena"
"U2","Crumbs From Your Table",299186,"Elena"
"U2","One Step Closer",228440,"Elena"
"U2","Original Of The Species",274120,"Elena"
"U2","Yahweh",261573,"Elena"
"U2","Fast Cars",223000,"Elena"
"U2","Love Is All We Have Left",161200,"Elena"
"U2","Lights Of Home",256893,"Elena"
"U2","You’re The Best Thing About Me",225400,"Elena"
"U2","American Soul",7813,"Elena"
"U2","Get Out Of Your Own Way",238293,"Elena"
"U2","Summer Of Love",204066,"Elena"
"U2","Red Flag Day",199706,"Elena"
"U2","The Showman (Little More Better)",203786,"Elena"
"U2","The Little Things That Give You Away",295426,"Elena"
"U2","Landlady",241400,"Elena"
"U2","The Blackout",285933,"Elena"
"U2","Love Is Bigger Than Anything In Its Way",240600,"Elena"
"U2","13 (There is A Light)",259746,"Elena"
"U2","Ordinary Love - Extraordinary Mix",227173,"Elena"
"U2","Book Of Your Heart",235386,"Elena"
"U2","Lights Of Home - St Peter's String Version",180618,"Elena"
"Belle & Sebastian","Nobody's Empire",310328,"Elena"
"Belle & Sebastian","Allie",196475,"Elena"
"Belle & Sebastian","The Party Line",254115,"Elena"
"Belle & Sebastian","The Power Of Three",237368,"Elena"
"Belle & Sebastian","The Cat With The Cream",317555,"Elena"
"Belle & Sebastian","Enter Sylvia Plath",408608,"Elena"
"Belle & Sebastian","The Everlasting Muse",325275,"Elena"
"Belle & Sebastian","Perfect Couples",329662,"Elena"
"Belle & Sebastian","Ever Had A Little Faith?",124693,"Elena"
"alt-J","3WW",3050,"Elena"
"Bon Iver","Yi",31546,"Elena"
"Bon Iver","iMi",196360,"Elena"
"Bon Iver","We",142880,"Elena"
"Bon Iver","Holyfields,",187533,"Elena"
"Bon Iver","Hey, Ma",216706,"Elena"
