day,S ms played,S hours played,S silent days,S most musical day,J ms played,J hours played,J silent days,J most musical day,E ms played,E hours played,E silent days,E most musical day
17 Jan 2020,9283620,2:34:44,,,2097536,0:34:58,,,253694,0:04:14,,
18 Jan 2020,31428697,8:43:49,,,34916952,9:41:57,,,0,0:00:00,,
19 Jan 2020,0,0:00:00,,,1610240,0:26:50,,,140106,0:02:20,,
20 Jan 2020,23851524,6:37:32,,,4189582,1:09:50,,,2834564,0:47:15,,
21 Jan 2020,12422574,3:27:03,,,4067972,1:07:48,,,2219300,0:36:59,,
22 Jan 2020,11775975,3:16:16,,,6251843,1:44:12,,,1225093,0:20:25,,
23 Jan 2020,3692216,1:01:32,,,26382926,7:19:43,,,0,0:00:00,,
24 Jan 2020,7554261,2:05:54,,,3153548,0:52:34,,,641132,0:10:41,,
25 Jan 2020,11077352,3:04:37,,,3781848,1:03:02,,,2161493,0:36:01,,
26 Jan 2020,23941745,6:39:02,,,11462726,3:11:03,,,0,0:00:00,,
27 Jan 2020,7099238,1:58:19,,,16850107,4:40:50,,,3279163,0:54:39,,
28 Jan 2020,6432147,1:47:12,,,18342043,5:05:42,,,7845632,2:10:46,,
29 Jan 2020,5697982,1:34:58,,,19596004,5:26:36,,,6433014,1:47:13,,
30 Jan 2020,16027588,4:27:08,,,6604361,1:50:04,,,2504079,0:41:44,,
31 Jan 2020,8144923,2:15:45,,,14563330,4:02:43,,,0,0:00:00,,
1 Feb 2020,24682679,6:51:23,,,15298927,4:14:59,,,2146619,0:35:47,,
2 Feb 2020,4354255,1:12:34,,,6399570,1:46:40,,,15130689,4:12:11,,
3 Feb 2020,1647618,0:27:28,,,3375900,0:56:16,,,5303024,1:28:23,,
4 Feb 2020,14617380,4:03:37,,,4838128,1:20:38,,,0,0:00:00,,
5 Feb 2020,7934005,2:12:14,,,7376968,2:02:57,,,16001594,4:26:42,,
6 Feb 2020,15049976,4:10:50,,,7847201,2:10:47,,,683689,0:11:24,,
7 Feb 2020,13264257,3:41:04,,,3185433,0:53:05,,,6685929,1:51:26,,
8 Feb 2020,6488199,1:48:08,,,1378946,0:22:59,,,4692098,1:18:12,,
9 Feb 2020,14922940,4:08:43,,,13043314,3:37:23,,,4891549,1:21:32,,
10 Feb 2020,1367894,0:22:48,,,10972341,3:02:52,,,0,0:00:00,,
11 Feb 2020,6266192,1:44:26,,,12823997,3:33:44,,,865801,0:14:26,,
12 Feb 2020,3724860,1:02:05,,,5318079,1:28:38,,,3140751,0:52:21,,
13 Feb 2020,1245605,0:20:46,,,5996937,1:39:57,,,12391865,3:26:32,,
14 Feb 2020,3415570,0:56:56,,,6781153,1:53:01,,,6482595,1:48:03,,
15 Feb 2020,29779739,8:16:20,,,7830998,2:10:31,,,23575836,6:32:56,,
16 Feb 2020,18977273,5:16:17,,,8732563,2:25:33,,,2249822,0:37:30,,
